Arizona Green Tea, 2.19
Celsius Special, 1.64
Parfait, 4.49
Everything Bagel, 2.29
Whoppers, 3.19
99 Cent Clearance Item, 0.99
Dr. Pepper, 2.89
Tropicana Raspberry Lemonade, 3.09
Nutrigrain Blueberry, 1.09
Oreos 6 pack, 1.89
Hostess Donettes, 2.29
Flipz, 5.89
Snack Club Snacks, 4.99
Pepsi, 2.99
Celsius, 3.29
Frappuccino, 4.49
Double Espresso Shot, 4.99
Espresso, 2.99
Pure Leaf, 2.99
Pure Leaf Green Tea, 2.89
Dole, 2.69
Ocean Spray, 3.09
Tropicana, 3.29
Naked, 5.89
Coke, 2.99
Cherry Coke, 2.99
Peace Tea, 2.49
Gold Peak, 2.99
MM Lemonade, 2.79
Fair Life, 3.29
Chow Mein, 3.99
Yakisoba, 2.29
Instant Ramen Pack, 0.99
Cup Noodles, 1.39
Most Candy, 3.19
California Roll, 7.99
Spicy California Roll, 8.49
Strawberry Banana Smoothie, 5.69
York Peppermint Patty, 1.89
Chips and Guacamole, 5.95
Hershey's Cookies and Creme Bar, 3.19
Dumplings, 4.99
M&Ms, 3.19
8oz Red Bull, 4.09
12oz Red Bull, 4.79
16oz Red Bull, 5.29
20oz Red Bull, 5.49
Reign Energy Drink, 3.99
Monster, 4.29
BBQ pork bun, 7.49
Onigiri, 3.99
Musubi, 5.99
Seaweed Salad, 4.99
Tuna Poke, 12.49
Salmon Poke, 12.49
BYO Poke, 13.49
Crunchy California Roll, 8.99
Cream Cheese Roll, 8.49
Veggie Roll, 7.99
Avocado Roll, 7.99
Teriyaki Chicken Rice Bowl, 11.49
Orange Chicken Rice Bowl, 11.49
Tofu Veggie Rice Bowl, 11.49
Japanese Curry Rice Bowl, 11.49
Rainbow Roll, 12.49
Ahi Salmon Maki, 12.49
Outer Bank Roll, 12.49
Boba, 4.99
IW Coke Products, 2.99
IW Powerade, 3.29
Ramune, 3.50
IW Bottled water, 2.59
Concessions 6" hot dog, 6.00
Concessions 6" bratwurst, 7.25
concessions Nachos, 6.25
concessions bottled beverage, 4.00
concessions Powerade, 4.00
concessions Genius Juice, 3.50
concessions Churro, 5.50
concessions Funnel Cake, 5.50
concessions Candy, 4.25
concessions Popcorn, 3.25
concessoins Chips, 3.25
Salsa and chips, 3.95
Salsa and chips large, 4.95
guacamole and chips large, 5.95
cup of tortilla soup, 3.95
Qdoba fountain drink, 3.95
Qdoba chocolate cookie, 1.95
Qdoba chocolate brownie, 2.45
